date,ic,rolling_ic_mean,rolling_ic_ir
2024-06-03,0.2681173069135361,,
2024-06-04,0.09065795215178828,,
2024-06-05,-0.02160578121419311,,
2024-06-06,0.07002533362214292,,
2024-06-07,0.038129141827473956,,
2024-06-10,0.0014817186680856009,,
2024-06-11,0.07639640997146438,,
2024-06-12,-0.03997501169364839,,
2024-06-13,-0.062144285494539306,,
2024-06-14,-0.0017281485736888207,,
2024-06-17,0.02855761593977693,,
2024-06-18,0.0534956945399295,,
2024-06-20,-0.014024529978119538,,
2024-06-21,-0.1113753300120233,,
2024-06-24,0.017921889568009948,,
2024-06-25,-0.0711852807574345,,
2024-06-26,0.03924357006300444,,
2024-06-27,0.07864881070102245,,
2024-06-28,0.05913689887584014,,
2024-07-01,0.007731934490455159,,
2024-07-02,0.06355851062159983,,
2024-07-03,0.09927515076173525,,
2024-07-05,0.08197326000081621,,
2024-07-08,-0.2220223576278689,,
2024-07-09,-0.18427149355358205,,
2024-07-10,-0.2746673196274357,,
2024-07-11,-0.32267092346860293,,
2024-07-12,-0.14336412922344757,,
2024-07-15,-0.12643737698124935,,
2024-07-16,0.017372523536410413,,
2024-07-17,-0.048133882071518044,,
2024-07-18,-0.009956870825553046,,
2024-07-19,-0.0514771667781095,,
2024-07-22,-0.10124502038932787,,
2024-07-23,-0.16587400996393023,,
2024-07-24,-0.0650841785722134,,
2024-07-25,-0.08331528273515222,,
2024-07-26,0.02949467742796242,,
2024-07-29,-0.12177247456435276,,
2024-07-30,0.03552985568939159,,
2024-07-31,0.029491538193496137,,
2024-08-01,-0.06552838024919244,,
2024-08-02,0.29504566016531214,,
2024-08-05,0.13500434783973583,,
2024-08-06,-0.020803706808057792,,
2024-08-07,0.16413173483514312,,
2024-08-08,0.02614354463520526,,
2024-08-09,0.05983223931012183,,
2024-08-12,0.1065911366854079,,
2024-08-13,-0.011758002693463174,,
2024-08-14,-0.03433380735773774,,
2024-08-15,0.1260983396588908,,
2024-08-16,0.04492715406420991,,
2024-08-19,0.11567765084806422,,
2024-08-20,0.13908378302867064,,
2024-08-21,0.20977777359213187,,
2024-08-22,0.05650779001032809,,
2024-08-23,0.28496714791131034,,
2024-08-26,0.03691896694072184,,
2024-08-27,0.08109270473302381,0.011554750276796293,1.5226913104446371
2024-08-28,-0.01575738740350778,0.0068235053715122295,0.9362565249430231
2024-08-29,-0.06051659242377155,0.004303929628586232,0.5916219611187704
2024-08-30,0.02249418456815121,0.00503892905829197,0.692819792213319
2024-09-03,-0.10787822281658396,0.0020738697843131902,0.28370435888638057
2024-09-04,-0.01568361539355013,0.0011769904972961218,0.1611164860015848
2024-09-05,0.10823138669404081,0.0029561516310620418,0.4018194360395582
2024-09-06,0.11523501878831831,0.0036034617780096073,0.48763307511999787
2024-09-09,0.041886805483614765,0.00496782539763066,0.672489352018086
2024-09-10,0.07944617625545836,0.007327666426797288,0.9915055478528958
2024-09-11,-0.08430728082649767,0.0059513475559171405,0.8012402302139006
2024-09-12,-0.1929561857045541,0.0022594508618449566,0.29734268765776
2024-09-13,-0.20874182621825843,-0.0021111744841248426,-0.27146162071487984
2024-09-16,-0.13195458155574183,-0.00407667534375188,-0.519452264448283
2024-09-17,0.031949558780595765,-0.0016879271972082297,-0.21632725178801115
2024-09-18,0.10458516586145304,-0.0002435392589841781,-0.03102806771124904
2024-09-19,0.11250545441988517,0.00281797299397115,0.35763649407254977
2024-09-20,0.023319803232783657,0.002552576880134137,0.32411428940954357
2024-09-23,-0.18882024429522618,-0.0019052407031366736,-0.2381219723332485
2024-09-24,-0.01008792995740059,-0.0030589878503573527,-0.38307347288351795
2024-09-25,0.14295131989113138,-0.0008053314270127487,-0.0997572653020436
2024-09-26,0.21900712292300403,0.0017854787780106547,0.21633678565250453
2024-09-27,0.1088247020081683,0.0019446379654512052,0.23539453953590184
2024-09-30,-0.0040919921267999594,0.0005102170966576025,0.06195927184444406
2024-10-01,-0.056278625894289426,0.003272612625550594,0.40696459987367506
2024-10-02,-0.0006435430655880259,0.006333078467017161,0.8025977142026007
2024-10-03,0.06899723433443522,0.012060821033048343,1.5963126237141616
2024-10-04,-0.06148190702215358,0.016413971307155835,2.325108332198817
2024-10-07,0.03980078418076968,0.019466719863892788,2.8063352306921203
2024-10-08,-0.05597568976829311,0.02064108131744206,3.0087851414219333
2024-10-09,0.023153423806070658,0.020737429655269733,3.022840179576576
2024-10-10,0.08024668104436053,0.02287710570720104,3.33825920336254
2024-10-11,0.070780319511284,0.024222725546148318,3.531812864184186
2024-10-14,0.15824410059362928,0.027718080002343968,4.0086371162276695
