date,ic,dispersion,vix
2024-06-03,0.2681173069135361,0.02867359216813385,13.11
2024-06-04,0.09065795215178828,0.03354714965263039,13.16
2024-06-05,-0.02160578121419311,0.02987356193773505,12.63
2024-06-06,0.07002533362214292,0.035335198226138564,12.58
2024-06-07,0.038129141827473956,0.03612833483796676,12.22
2024-06-10,0.0014817186680856009,0.03889132443018108,12.74
2024-06-11,0.07639640997146438,0.038963999938010446,12.85
2024-06-12,-0.03997501169364839,0.026542853655234695,12.04
2024-06-13,-0.062144285494539306,0.025337763693153156,11.94
2024-06-14,-0.0017281485736888207,0.02706904780608148,12.66
2024-06-17,0.02855761593977693,0.02749273372866069,12.75
2024-06-18,0.0534956945399295,0.029172111423320914,12.3
2024-06-20,-0.014024529978119538,0.02602641717376904,13.28
2024-06-21,-0.1113753300120233,0.029618259163981097,13.2
2024-06-24,0.017921889568009948,0.03425487961254739,13.33
2024-06-25,-0.0711852807574345,0.03494670831324451,12.84
2024-06-26,0.03924357006300444,0.03537261688591615,12.55
2024-06-27,0.07864881070102245,0.03497503039485753,12.24
2024-06-28,0.05913689887584014,0.03328686214072948,12.44
2024-07-01,0.007731934490455159,0.03230876269049529,12.22
2024-07-02,0.06355851062159983,0.0296396967194542,12.03
2024-07-03,0.09927515076173525,0.02916410078623878,12.09
2024-07-05,0.08197326000081621,0.03235673823154345,12.48
2024-07-08,-0.2220223576278689,0.03089694259900018,12.37
2024-07-09,-0.18427149355358205,0.04081146525171303,12.51
2024-07-10,-0.2746673196274357,0.05401349466674899,12.85
2024-07-11,-0.32267092346860293,0.04448897320755802,12.92
2024-07-12,-0.14336412922344757,0.044735934643821765,12.46
2024-07-15,-0.12643737698124935,0.04284994509852215,13.12
2024-07-16,0.017372523536410413,0.04035600683600736,13.19
2024-07-17,-0.048133882071518044,0.03820746509887692,14.48
2024-07-18,-0.009956870825553046,0.05209197128891724,15.93
2024-07-19,-0.0514771667781095,0.05404051890505603,16.52
2024-07-22,-0.10124502038932787,0.054056787290312616,14.91
2024-07-23,-0.16587400996393023,0.060508455353593046,14.72
2024-07-24,-0.0650841785722134,0.04892345680714687,18.04
2024-07-25,-0.08331528273515222,0.0417601361238814,18.46
2024-07-26,0.02949467742796242,0.05620277984746855,16.39
2024-07-29,-0.12177247456435276,0.05124818432812387,16.6
2024-07-30,0.03552985568939159,0.04822079038384608,17.69
2024-07-31,0.029491538193496137,0.06173432825209016,16.36
2024-08-01,-0.06552838024919244,0.03989107835552449,18.59
2024-08-02,0.29504566016531214,0.03657750587019701,23.39
2024-08-05,0.13500434783973583,0.036801050739397774,38.57
2024-08-06,-0.020803706808057792,0.04051093533448192,27.71
2024-08-07,0.16413173483514312,0.04104120829258412,27.85
2024-08-08,0.02614354463520526,0.03781127231076622,23.79
2024-08-09,0.05983223931012183,0.03702539710110911,20.37
2024-08-12,0.1065911366854079,0.03651745253144157,20.71
2024-08-13,-0.011758002693463174,0.026091228743937506,18.12
2024-08-14,-0.03433380735773774,0.028757788234640376,16.19
2024-08-15,0.1260983396588908,0.022300552737707462,15.23
2024-08-16,0.04492715406420991,0.021917218546211543,14.8
2024-08-19,0.11567765084806422,0.02412967048376076,14.65
2024-08-20,0.13908378302867064,0.02458132642845201,15.88
2024-08-21,0.20977777359213187,0.027887932319955237,16.27
2024-08-22,0.05650779001032809,0.021702469343202035,17.55
2024-08-23,0.28496714791131034,0.021066258853266656,15.86
2024-08-26,0.03691896694072184,0.030912751051396667,16.15
2024-08-27,0.08109270473302381,0.034346997715895326,15.43
2024-08-28,-0.01575738740350778,0.03132507425394635,17.11
2024-08-29,-0.06051659242377155,0.037929971073871284,15.65
2024-08-30,0.02249418456815121,0.041236816943574915,15.0
2024-09-03,-0.10787822281658396,0.03235487674542992,20.72
2024-09-04,-0.01568361539355013,0.031943556502999675,21.32
2024-09-05,0.10823138669404081,0.0318408219902373,19.9
2024-09-06,0.11523501878831831,0.03725423231027562,22.38
2024-09-09,0.041886805483614765,0.034836880798821156,19.45
2024-09-10,0.07944617625545836,0.03125070679751625,19.08
2024-09-11,-0.08430728082649767,0.02828634850418234,17.69
2024-09-12,-0.1929561857045541,0.03301570484362753,17.07
2024-09-13,-0.20874182621825843,0.030481304412316765,16.56
2024-09-16,-0.13195458155574183,0.027803667977473752,17.14
2024-09-17,0.031949558780595765,0.028860518166394643,17.61
2024-09-18,0.10458516586145304,0.032522495629344304,18.23
2024-09-19,0.11250545441988517,0.03571289920038093,16.33
2024-09-20,0.023319803232783657,0.03125451613779359,16.15
2024-09-23,-0.18882024429522618,0.024884255827770416,15.89
2024-09-24,-0.01008792995740059,0.020701418984055874,15.39
2024-09-25,0.14295131989113138,0.02247750159815621,15.41
2024-09-26,0.21900712292300403,0.03306705571295329,15.37
2024-09-27,0.1088247020081683,0.03177362018136941,16.96
2024-09-30,-0.0040919921267999594,0.0350017494139957,16.73
2024-10-01,-0.056278625894289426,0.03199564767424162,19.26
2024-10-02,-0.0006435430655880259,0.030239028353844667,18.9
2024-10-03,0.06899723433443522,0.02891295719408739,20.49
2024-10-04,-0.06148190702215358,0.026809348130654533,19.21
2024-10-07,0.03980078418076968,0.028433691706397864,22.64
2024-10-08,-0.05597568976829311,0.02915305696615904,21.42
2024-10-09,0.023153423806070658,0.03511288967696207,20.86
2024-10-10,0.08024668104436053,0.03767282853965565,20.93
2024-10-11,0.070780319511284,0.03657209288625813,20.46
2024-10-14,0.15824410059362928,0.0363330196536372,19.7
2024-10-15,0.1154013982150313,0.030465473294369362,20.64
2024-10-16,0.06590194915068012,0.028745846192659352,19.58
2024-10-17,0.07242213913715002,0.03418312053536171,19.11
2024-10-18,0.03311421476758678,0.03632321271473738,18.03
2024-10-21,0.04393358635563133,0.03566539370910959,18.37
2024-10-22,0.16835400519229385,0.03809926971699102,18.2
2024-10-23,0.1006564139268998,0.04035933043359502,19.24
2024-10-24,0.028356704933934815,0.03311843674775674,19.08
2024-10-25,-0.01749338406336231,0.03288906768621971,20.33
2024-10-28,-0.037808939911913086,0.03449909356226156,19.8
2024-10-29,-0.03238120351970968,0.03446259004907017,19.34
2024-10-30,0.07097809128265982,0.05030656912215394,20.35
2024-10-31,0.06347218167377704,0.050711029971356514,23.16
2024-11-01,0.16015275514912936,0.046678875222912086,21.88
2024-11-04,0.16865694131829018,0.05881777353652318,21.98
2024-11-05,0.11429324844843339,0.056837242476970404,20.49
2024-11-06,0.07795190064950762,0.040569853458865594,16.27
2024-11-07,0.13546738492351257,0.0375927266288761,15.2
2024-11-08,0.13192789806277844,0.041399906189563275,14.94
2024-11-11,-0.034854920279140736,0.035642110999617664,14.97
2024-11-12,-0.020800567573591507,0.03362898500705762,14.71
2024-11-13,0.06871941208416915,0.030396300038882555,14.02
2024-11-14,-0.050590333041384536,0.028718693461944268,14.31
2024-11-15,-0.08657066887668774,0.0266394215103154,16.14
2024-11-18,-0.07063434510860182,0.02863597337297926,15.58
2024-11-19,-0.015358704626289835,0.028317126835390435,16.35
2024-11-20,0.0550794383281693,0.02782659682041192,17.16
2024-11-21,0.049934233037931375,0.023373080389015043,16.87
2024-11-22,0.20357307666952337,0.024608710458100588,15.24
2024-11-25,0.2881613189807534,0.024709410687684858,14.6
2024-11-26,0.30454812289475097,0.03364748440676128,14.1
2024-11-27,0.21988453895633014,0.037764870578935975,14.1
2024-11-29,0.04443900310470289,0.04102889510973442,13.51
2024-12-02,0.20913423052654384,0.035467908747771046,13.34
2024-12-03,0.0054905210815290595,0.03576573621539511,13.3
2024-12-04,0.00706484716637001,0.03575562432978094,13.45
2024-12-05,-0.08240647435716328,0.03366961941693441,13.54
2024-12-06,-0.16779993030899487,0.03701693307948714,12.77
2024-12-09,0.04687661866777169,0.0514840592130038,14.19
2024-12-10,-0.0520139758718439,0.0470972061031223,14.18
2024-12-11,-0.03575274133649768,0.03475459570592857,13.58
2024-12-12,-0.05398384549943651,0.035921291691278404,13.92
2024-12-13,-0.04913686748349548,0.02871626364505409,13.81
2024-12-16,-0.04527246985550105,0.029424560834807,14.69
2024-12-17,-0.021549274993800015,0.027376951637784516,15.87
2024-12-18,-0.03706023249170458,0.026885623130769348,27.62
2024-12-19,0.07926567027364706,0.018200072321595238,24.09
2024-12-20,0.10486455772895223,0.015906161887281667,18.36
2024-12-23,-0.07151019152469479,0.016535473992518746,16.78
2024-12-24,-0.04106275643621547,0.02249784311546446,14.27
2024-12-26,-0.02501342022734336,0.022659460053581746,14.73
2024-12-27,0.02844460349899074,0.02810677157593005,15.95
2024-12-30,0.16282895253163565,0.03134682155773813,17.4
2024-12-31,0.16258252262603243,0.03229775861657902,17.35
2025-01-02,0.07413930039020684,0.03518644066016189,17.93
2025-01-03,0.05403721248536333,0.035271061335785205,16.13
2025-01-06,0.11121836828870914,0.036020333962605705,16.04
2025-01-07,0.05157605266379741,0.03300653258747177,17.82
2025-01-08,0.025704051809925636,0.03351835057739487,17.7
2025-01-10,0.19377081704855456,0.033538822362004055,19.54
2025-01-13,0.1909596325839981,0.03685266773107157,19.19
2025-01-14,0.15962536375879383,0.03834382835579673,18.71
2025-01-15,0.06956072692113302,0.03756208164324173,16.12
2025-01-16,0.0681009828943114,0.03627274307369457,16.6
2025-01-17,0.024449927640645557,0.04962522343083092,15.97
2025-01-21,0.10367635748346411,0.04769025240348103,15.06
2025-01-22,0.13078678633428453,0.0489358721552594,15.1
2025-01-23,0.14577506129355297,0.046082456743213394,15.02
2025-01-24,0.14857839767194372,0.042690528621101016,14.85
2025-01-27,0.14152767706067199,0.04263204078382133,17.9
2025-01-28,0.1448003289917721,0.03819337749985039,16.41
2025-01-29,0.2161662005555829,0.03930368537657282,16.56
2025-01-30,0.2939563458055119,0.03724605926947578,15.84
2025-01-31,0.18573280719763682,0.03855245258218846,16.43
2025-02-03,0.030684447290683696,0.0403122374021751,18.62
2025-02-04,0.19022191248442155,0.04209479149548243,17.21
2025-02-05,-0.05752647159463693,0.040443325419651,15.77
2025-02-06,-0.0639995730641126,0.03810704477108661,15.5
2025-02-07,-0.0573396871438931,0.035794118440070855,16.54
2025-02-10,-0.14059532442418593,0.0418630915126534,15.81
2025-02-11,-0.041605843998882446,0.0372744622577128,16.02
2025-02-12,-0.03220383677236469,0.03630297371628405,15.89
