bin,count,mean_probability,mean_realized_return
"(-0.001, 0.1]",423,0.0278658354346669,0.0
"(0.1, 0.2]",24,0.14938130912681422,0.0001251494005743437
"(0.2, 0.3]",147,0.2699694530088074,0.005362352608680071
"(0.3, 0.4]",3298,0.3727385810445915,-0.0008558364426678966
"(0.4, 0.5]",45048,0.46450639193269927,-0.0012069138284341004
"(0.5, 0.6]",34758,0.5310404146747901,0.0013854633459775313
"(0.6, 0.7]",2172,0.6308804821792448,0.003447897380345325
"(0.7, 0.8]",209,0.7342587013564041,0.0034076725634826985
"(0.8, 0.9]",9,0.8209315405951606,0.004817961862595304
