config,desc,feature_profile,weight_mode,n_features,train_auc,wf_auc,ic_mean,ic_ir,nw_sharpe_net,gross_sharpe,net_spread_bps,max_drawdown_net,turnover
A_baseline,"Baseline: all_features, equal-weight (reference)",all_features,equal,58,0.5319579316160319,0.5263758790386406,0.044343991654235165,6.358772993980206,1.6078810552526432,3.407728456174181,23.24350283369289,-0.2912574691432255,0.4776887871853547
B_all_features_signal_weighted,"Signal-weighted portfolio, same all_features model",all_features,signal,58,0.5319579316160319,0.5263758790386406,0.044343991654235165,6.358772993980206,1.5601906016382727,3.314179344033326,23.787781864151754,-0.3338536413821298,0.4776887871853547
C_flow_enhanced_equal,"flow_enhanced profile (liquidity_core + flow signals), equal-weight",flow_enhanced,equal,25,0.5392477722334128,0.5265347983428766,0.043067388413424806,5.838187527667071,1.9768695357660866,3.984387085056544,28.450850812915633,-0.27849963017118606,0.4759153318077803
D_flow_enhanced_signal_weighted,"flow_enhanced profile, signal-weighted portfolio",flow_enhanced,signal,25,0.5392477722334128,0.5265347983428766,0.043067388413424806,5.838187527667071,1.9400446566461667,3.8597530842888044,28.97505392599977,-0.2857905107368548,0.4759153318077803
E_flow_only,flow_only: size anchor + 3 flow signals only,flow_only,equal,9,0.549051475388241,0.5239710485697524,0.03956596242915225,5.159405683790167,1.8851607445304794,4.026777755013262,30.54981480334778,-0.2821831073463946,0.45040045766590386
