horizon_days,overall_auc,ic_mean,ic_ir,rank_net_sharpe,rank_net_sharpe_nw,rank_net_mean,decile_sharpe,decile_mean,rank_days
1,0.5151526097982733,0.02084091409387752,2.8833883885088385,-1.2164590563028965,-1.2164590563028965,-0.0005553479748541989,1.5996201223873132,0.0007398665133839053,441
3,0.521432233514919,0.037639635319437426,3.089581491120488,2.288213661201665,2.383785751740745,0.0031228809610435956,3.1462938953047517,0.0044487337812450945,147
5,0.5264310279201665,0.04138734614540535,2.6630503120033615,1.802324289397427,1.7499602528112164,0.0034587283346306976,2.6122378681876057,0.005015571271118832,88
10,0.5375095338895988,0.07753099351919314,3.4258739303728083,2.2899505743138673,2.7354170049836672,0.010658261804277747,2.455111580379132,0.011638478703167815,44
20,0.5617254104040883,0.12647404894751457,4.237090832469318,3.646629561734177,4.803312401489595,0.02977088320397663,3.962195650230757,0.0317709252250259,22
