config,val_auc,wf_auc,ic_mean,rank_net_sharpe_nw,rank_net_mean,decile_sharpe,decile_monotonicity,delta_wf_auc,delta_ic_mean,delta_rank_net_sharpe_nw,delta_decile_sharpe
drop_liquidity_size,0.5369995045434415,0.5103257267501671,0.007216138469280276,0.5429752540096355,0.0007894627358295711,1.6523833175576355,0.5030303030303029,-0.01610530116999942,-0.0360799514137507,-1.6028384908437776,-2.7817822883497003
drop_cross_sectional_ranks,0.5554712342680592,0.5265939902891014,0.04267179114953549,2.1242018002028287,0.0031100862160902292,4.3685924848906454,0.9393939393939393,0.00016296236893487137,-0.0006242987334954889,-0.02161194465058447,-0.06557312101669055
baseline_all_features,0.5531116339511972,0.5264310279201665,0.04329608988303098,2.145813744853413,0.0030574328415463306,4.434165605907336,0.9878787878787878,0.0,0.0,0.0,0.0
drop_macro_regime,0.5529140379883345,0.5264486608372267,0.04603384707869523,2.266968555177817,0.003227306392062101,4.30736299674714,0.9515151515151514,1.763291706025072e-05,0.002737757195664249,0.12115481032440378,-0.1268026091601957
drop_momentum_technical,0.5566945763178284,0.5264047237625502,0.044857658010274755,2.4302357691946677,0.003863410525305261,4.884146542533957,0.9878787878787878,-2.6304157616285906e-05,0.0015615681272437773,0.2844220243412545,0.44998093662662075
drop_news_nlp,0.5541817571059122,0.5267313961840414,0.04372962126244987,2.4726936711695156,0.0034795981012875603,5.0334926225556265,0.9515151515151514,0.0003003682638749172,0.000433531379418893,0.3268799263161024,0.5993270166482905
drop_sector_benchmark,0.5581391382814854,0.525455615523051,0.041297297410740626,2.7358071696964834,0.0038492498429742437,5.1046422194685395,0.9999999999999999,-0.000975412397115516,-0.001998792472290352,0.5899934248430703,0.6704766135612035
