config,val_auc,wf_auc,ic_mean,rank_net_sharpe_nw,rank_net_mean,decile_sharpe,delta_wf_auc,delta_ic_mean,delta_rank_net_sharpe_nw,delta_decile_sharpe
baseline_all_features,0.5531116339511972,0.5264310279201665,0.04329608988303098,2.145813744853413,0.0030574328415463306,4.434165605907336,0.0,0.0,0.0,0.0
liquidity_only,0.5318858154334419,0.5264097413404707,0.04661095158243799,2.3700843270341045,0.0032794067796783903,4.757256363461771,-2.128657969580061e-05,0.0033148616994070138,0.2242705821806914,0.32309075755443484
drop_size_only,0.5387005132139041,0.5125770148207763,0.014711999819557706,0.4414116605302326,0.0005659685797120678,1.8921827881308078,-0.013854013099390161,-0.02858409006347327,-1.7044020843231804,-2.5419828177765282
drop_turnover_only,0.5534428337051476,0.5239313874223771,0.03795768109478474,1.3991042268830665,0.002181831996695069,3.100266051132516,-0.0024996404977893905,-0.005338408788246235,-0.7467095179703467,-1.33389955477482
drop_dollar_volume_only,0.5380850329695078,0.5199897723898551,0.027795477278939055,1.2862490490381824,0.0016709467046485344,3.0120786376854762,-0.006441255530311385,-0.015500612604091923,-0.8595646958152308,-1.4220869682218598
drop_volume_shocks_only,0.5556186028537885,0.5231467142456174,0.038706038721900544,1.9461639395574908,0.0028317908868298646,4.1040337750857026,-0.0032843136745490664,-0.004590051161130433,-0.19964980529592236,-0.33013183082163344
liquidity_only_size_neutral,0.5403805188936472,0.523202289272288,0.038889182289452005,1.6429889911653082,0.0024118790417606943,3.7821844202523596,-0.0032287386478785374,-0.004406907593578972,-0.502824753688105,-0.6519811856549764
