date,cum_decile_spread
2024-06-03,1.0207094740726834
2024-06-04,1.0313650418959208
2024-06-05,1.0376759109672467
2024-06-06,1.0414982704381344
2024-06-07,1.0395855755122776
2024-06-10,1.039097103272622
2024-06-11,1.0397535470721353
2024-06-12,1.0367523093382824
2024-06-13,1.042803014134195
2024-06-14,1.036817776508102
2024-06-17,1.0443829491528431
2024-06-18,1.0426100446904387
2024-06-20,1.0315269428833251
2024-06-21,1.0235875064409323
2024-06-24,1.0214309268606983
2024-06-25,1.012176481664797
2024-06-26,0.9920564337366352
2024-06-27,0.9763844543546798
2024-06-28,0.9668123274997124
2024-07-01,0.9605321986715968
2024-07-02,0.9601432538532413
2024-07-03,0.9665135626903332
2024-07-05,0.9671814510069391
2024-07-08,0.9513325648321139
2024-07-09,0.928993968562977
2024-07-10,0.9055930704503832
2024-07-11,0.875711923034792
2024-07-12,0.851636927456783
2024-07-15,0.8370520124744947
2024-07-16,0.8428839415951788
2024-07-17,0.8439433799909413
2024-07-18,0.832941228412884
2024-07-19,0.8111945207663662
2024-07-22,0.7958397893441032
2024-07-23,0.7791682429487482
2024-07-24,0.782184438415462
2024-07-25,0.7789319553718866
2024-07-26,0.7865941498927801
2024-07-29,0.7898250024651451
2024-07-30,0.8008499567492067
2024-07-31,0.7943642324376308
2024-08-01,0.7891171181500661
2024-08-02,0.8219487207537148
2024-08-05,0.832694741140912
2024-08-06,0.8361086228161498
2024-08-07,0.8576288018164255
2024-08-08,0.8592835240658577
2024-08-09,0.8774062677727378
2024-08-12,0.8839766969530615
2024-08-13,0.8874579712038033
2024-08-14,0.8948650262161156
2024-08-15,0.9026145741655336
2024-08-16,0.899685650544826
2024-08-19,0.9095445125453867
2024-08-20,0.9144110514687889
2024-08-21,0.9227119624232439
2024-08-22,0.9273088190229104
2024-08-23,0.9440204127611315
2024-08-26,0.946410164036724
2024-08-27,0.952318786383726
2024-08-28,0.9431021322101244
2024-08-29,0.9211068463059511
2024-08-30,0.9255968414114623
2024-09-03,0.9219321548506091
2024-09-04,0.9227698800390896
2024-09-05,0.9213323886391684
2024-09-06,0.9255930211534977
2024-09-09,0.9353069395240585
2024-09-10,0.9366913224806329
2024-09-11,0.9271052715490438
2024-09-12,0.9185047520372893
2024-09-13,0.9081809901672278
2024-09-16,0.8935885021920367
2024-09-17,0.8892327569252951
2024-09-18,0.8924203185027783
2024-09-19,0.901649661139869
2024-09-20,0.8950752083428504
2024-09-23,0.8799003414045607
2024-09-24,0.8780277748056539
2024-09-25,0.8886385275170593
2024-09-26,0.8948340956978041
2024-09-27,0.9007039952072329
2024-09-30,0.8990690240489884
2024-10-01,0.8917120935815172
2024-10-02,0.8947509426044413
2024-10-03,0.9057597399738777
2024-10-04,0.9094850570400067
2024-10-07,0.9045188882288931
2024-10-08,0.9144714955266805
2024-10-09,0.9256829492174706
2024-10-10,0.9376888079604493
2024-10-11,0.9465883959579093
2024-10-14,0.9567675465439971
2024-10-15,0.9728174769627882
2024-10-16,0.9777518090819147
2024-10-17,0.979487418295813
2024-10-18,0.9751343806387492
2024-10-21,0.9791505980710064
2024-10-22,0.9922475419327117
2024-10-23,0.9934511345876067
2024-10-24,0.9976375635688505
2024-10-25,1.0001955066642494
2024-10-28,1.0032338368213514
2024-10-29,1.0029011209002485
2024-10-30,0.9902040321432917
2024-10-31,0.9956771769216464
2024-11-01,1.0237028110040804
2024-11-04,1.049247609119327
2024-11-05,1.0808299370049748
2024-11-06,1.1017883226337104
2024-11-07,1.1182400874196001
2024-11-08,1.1221543657997746
2024-11-11,1.1089124114394722
2024-11-12,1.1005143382050924
2024-11-13,1.0932932954204189
2024-11-14,1.0738509595143413
2024-11-15,1.0622199950222755
2024-11-18,1.058184874757625
2024-11-19,1.0590077862893588
2024-11-20,1.048787425739694
2024-11-21,1.0555120233285278
2024-11-22,1.0749702308291722
2024-11-25,1.0936928409487363
2024-11-26,1.108136130235273
2024-11-27,1.148076321123813
2024-11-29,1.1490381707797497
2024-12-02,1.1696654067975458
2024-12-03,1.169701653868818
2024-12-04,1.1688924866985217
2024-12-05,1.176675914214893
2024-12-06,1.1536804810197914
2024-12-09,1.1904979640399873
2024-12-10,1.187356097835909
2024-12-11,1.1988759866190273
2024-12-12,1.1852672944687697
2024-12-13,1.1786493154150792
2024-12-16,1.1819231960528416
2024-12-17,1.192202798113971
2024-12-18,1.1978293841515233
2024-12-19,1.2069812806564049
2024-12-20,1.2184148547250675
2024-12-23,1.2203409764044022
2024-12-24,1.2313688795122226
2024-12-26,1.2346448875219775
2024-12-27,1.256483309442207
2024-12-30,1.295980405454557
2024-12-31,1.3328493783143656
2025-01-02,1.3494567842586773
2025-01-03,1.3770162228542344
2025-01-06,1.3939763044246751
2025-01-07,1.3959388268789064
2025-01-08,1.3979534871022588
2025-01-10,1.4345372479202512
2025-01-13,1.4796426318784048
2025-01-14,1.5110693385155352
2025-01-15,1.5334548330617976
2025-01-16,1.5540665564615463
2025-01-17,1.5909875081918068
2025-01-21,1.6222221085498478
2025-01-22,1.642186855945021
2025-01-23,1.6689524953692632
2025-01-24,1.6978263477631306
2025-01-27,1.701074289929159
2025-01-28,1.6797333318278695
2025-01-29,1.7082665505005556
2025-01-30,1.7612814393516383
2025-01-31,1.7689664969450596
2025-02-03,1.7363753111863691
2025-02-04,1.7910237799412785
2025-02-05,1.78096730908957
2025-02-06,1.7719812633141152
2025-02-07,1.7444682412404147
2025-02-10,1.6928771427286755
2025-02-11,1.689250623094172
2025-02-12,1.6913011178763975
2025-02-13,1.6900292216276307
2025-02-14,1.6693154639451406
2025-02-18,1.66876142800513
2025-02-19,1.6402112718268504
2025-02-20,1.564776303415482
2025-02-21,1.541706100400924
2025-02-24,1.4955322728077651
2025-02-25,1.4906274087683513
2025-02-26,1.4919767834185658
2025-02-27,1.4639398699580721
2025-02-28,1.4685740886708747
