date,symbol,side,prob_up
2026-03-13,EPAM,long,0.70772784948349
2026-03-13,NFLX,long,0.6585298776626587
2026-03-13,GLW,long,0.6437253355979919
2026-03-13,FICO,long,0.6432391405105591
2026-03-13,NCLH,long,0.6424475312232971
2026-03-13,PSKY,long,0.6344844698905945
2026-03-13,GDDY,long,0.633397102355957
2026-03-13,TER,long,0.6324452757835388
2026-03-13,WDC,long,0.6275883913040161
2026-03-13,CVNA,long,0.6259579062461853
2026-03-13,HOOD,long,0.618842601776123
2026-03-13,APO,long,0.6160948276519775
2026-03-13,AES,long,0.6155476570129395
2026-03-13,TTD,long,0.613037645816803
2026-03-13,IBM,long,0.6092139482498169
2026-03-13,VST,long,0.6084864735603333
2026-03-13,AXP,long,0.6062034964561462
2026-03-13,APP,long,0.6034594774246216
2026-03-13,ODFL,long,0.6019076108932495
2026-03-13,WDAY,long,0.6018999814987183
2026-03-13,LIN,short,0.37316954135894775
2026-03-13,VRSN,short,0.3729580044746399
2026-03-13,ADI,short,0.371257483959198
2026-03-13,JBL,short,0.3709383010864258
2026-03-13,DIS,short,0.3658194839954376
2026-03-13,CMCSA,short,0.36527547240257263
2026-03-13,PEP,short,0.3646775186061859
2026-03-13,VZ,short,0.3638037145137787
2026-03-13,REG,short,0.36358901858329773
2026-03-13,AFL,short,0.36214667558670044
2026-03-13,TJX,short,0.3599693477153778
2026-03-13,JNJ,short,0.3539458215236664
2026-03-13,PFE,short,0.3511534035205841
2026-03-13,NVDA,short,0.3432011604309082
2026-03-13,HON,short,0.34225186705589294
2026-03-13,TDY,short,0.341128945350647
2026-03-13,BALL,short,0.3334853947162628
2026-03-13,SBUX,short,0.3307221531867981
2026-03-13,KO,short,0.3278321325778961
2026-03-13,SPY,short,0.02383255586028099
