date,symbol,side,prob_up
2026-03-04,LLY,long,0.5871478319168091
2026-03-04,WDC,long,0.5861634016036987
2026-03-04,PSKY,long,0.5851799845695496
2026-03-04,PLTR,long,0.5806393623352051
2026-03-04,IBKR,long,0.5768758654594421
2026-03-04,AAPL,long,0.5757507085800171
2026-03-04,LRCX,long,0.5748225450515747
2026-03-04,GLW,long,0.5739227533340454
2026-03-04,AMD,long,0.5717672109603882
2026-03-04,TTD,long,0.5700433254241943
2026-03-04,AVGO,long,0.5692334771156311
2026-03-04,AMZN,long,0.5680294632911682
2026-03-04,MRNA,long,0.5672736763954163
2026-03-04,EPAM,long,0.5671090483665466
2026-03-04,SNDK,long,0.5614063739776611
2026-03-04,WDAY,long,0.5597944855690002
2026-03-04,TPL,long,0.5587193369865417
2026-03-04,LW,long,0.5580787062644958
2026-03-04,VLO,long,0.556221604347229
2026-03-04,ORCL,long,0.5524943470954895
2026-03-04,CHTR,short,0.4354369640350342
2026-03-04,ED,short,0.43479418754577637
2026-03-04,GNRC,short,0.43476536870002747
2026-03-04,TYL,short,0.4346541166305542
2026-03-04,PHM,short,0.4346175789833069
2026-03-04,PTC,short,0.43455013632774353
2026-03-04,JBL,short,0.4340996742248535
2026-03-04,ETR,short,0.4329574704170227
2026-03-04,BMY,short,0.4312671422958374
2026-03-04,DGX,short,0.42908015847206116
2026-03-04,ADI,short,0.42731377482414246
2026-03-04,PNW,short,0.42562443017959595
2026-03-04,CAG,short,0.42544370889663696
2026-03-04,HSIC,short,0.4239325225353241
2026-03-04,AEE,short,0.4236202538013458
2026-03-04,TSLA,short,0.4184524416923523
2026-03-04,CME,short,0.41282710433006287
2026-03-04,TDY,short,0.41228556632995605
2026-03-04,ZBH,short,0.4109584093093872
2026-03-04,SPY,short,0.025687457993626595
