date,symbol,side,prob_up
2026-02-24,META,long,0.5902659296989441
2026-02-24,CSX,long,0.5901838541030884
2026-02-24,PAYC,long,0.5733257532119751
2026-02-24,MSFT,long,0.5693951845169067
2026-02-24,TTD,long,0.5688122510910034
2026-02-24,ABBV,long,0.5614564418792725
2026-02-24,ROST,long,0.558341920375824
2026-02-24,IBKR,long,0.5566191077232361
2026-02-24,CTAS,long,0.5560922622680664
2026-02-24,NOC,long,0.5502219796180725
2026-02-24,LRCX,long,0.548922061920166
2026-02-24,MA,long,0.5474882125854492
2026-02-24,LLY,long,0.5460748672485352
2026-02-24,KMI,long,0.5443289875984192
2026-02-24,TDG,long,0.5405464768409729
2026-02-24,PNC,long,0.5396274924278259
2026-02-24,WMT,long,0.5390921235084534
2026-02-24,FICO,long,0.5387464761734009
2026-02-24,DELL,long,0.5384554862976074
2026-02-24,CPB,long,0.5372036695480347
2026-02-24,CMS,short,0.4429190158843994
2026-02-24,NVDA,short,0.44261622428894043
2026-02-24,ALGN,short,0.4425049126148224
2026-02-24,HST,short,0.4424577057361603
2026-02-24,DTE,short,0.4420183300971985
2026-02-24,AWK,short,0.4420037865638733
2026-02-24,APTV,short,0.4418516755104065
2026-02-24,BEN,short,0.44056999683380127
2026-02-24,CRM,short,0.44045349955558777
2026-02-24,LUV,short,0.4387003183364868
2026-02-24,EVRG,short,0.43866121768951416
2026-02-24,PNW,short,0.438393235206604
2026-02-24,ADI,short,0.43739020824432373
2026-02-24,LNT,short,0.43658509850502014
2026-02-24,FE,short,0.43511173129081726
2026-02-24,KEYS,short,0.4266453683376312
2026-02-24,IBM,short,0.4241006374359131
2026-02-24,AMD,short,0.37684571743011475
2026-02-24,MU,short,0.3499572277069092
2026-02-24,SPY,short,0.024375803768634796
