date,symbol,side,prob_up
2026-02-12,MSFT,long,0.6710570454597473
2026-02-12,ORCL,long,0.5824335813522339
2026-02-12,GLW,long,0.5778048634529114
2026-02-12,LRCX,long,0.5738254189491272
2026-02-12,IT,long,0.5717378258705139
2026-02-12,PLTR,long,0.5679740309715271
2026-02-12,META,long,0.5677583813667297
2026-02-12,ODFL,long,0.5671402812004089
2026-02-12,LLY,long,0.5623727440834045
2026-02-12,TPL,long,0.5592004060745239
2026-02-12,DELL,long,0.5584900379180908
2026-02-12,C,long,0.5578879714012146
2026-02-12,XOM,long,0.5575587749481201
2026-02-12,GE,long,0.5541900396347046
2026-02-12,ROP,long,0.5519043207168579
2026-02-12,WBD,long,0.5517244935035706
2026-02-12,MOH,long,0.551256537437439
2026-02-12,INTU,long,0.551185667514801
2026-02-12,ICE,long,0.5508347153663635
2026-02-12,ROK,long,0.5489795804023743
2026-02-12,XEL,short,0.4192299544811249
2026-02-12,AVY,short,0.41837170720100403
2026-02-12,TMO,short,0.41816818714141846
2026-02-12,UNP,short,0.4173412024974823
2026-02-12,PPL,short,0.41520237922668457
2026-02-12,POOL,short,0.4141840934753418
2026-02-12,EG,short,0.41411760449409485
2026-02-12,Q,short,0.4111606478691101
2026-02-12,BEN,short,0.41059404611587524
2026-02-12,SNA,short,0.4102189242839813
2026-02-12,ADI,short,0.4095477759838104
2026-02-12,KEYS,short,0.40388238430023193
2026-02-12,VRSN,short,0.4020175635814667
2026-02-12,CAG,short,0.40125226974487305
2026-02-12,AAPL,short,0.3990424871444702
2026-02-12,LH,short,0.39901474118232727
2026-02-12,MU,short,0.39435672760009766
2026-02-12,MTB,short,0.3942904472351074
2026-02-12,CHRW,short,0.38479378819465637
2026-02-12,SPY,short,0.025123033672571182
