date,symbol,side,prob_up
2026-02-27,LRCX,long,0.6071235537528992
2026-02-27,AMZN,long,0.5948848724365234
2026-02-27,IBKR,long,0.581784188747406
2026-02-27,WBD,long,0.5758085250854492
2026-02-27,META,long,0.575351357460022
2026-02-27,ROST,long,0.5749027132987976
2026-02-27,AVGO,long,0.5734840631484985
2026-02-27,STX,long,0.5635362863540649
2026-02-27,GLW,long,0.5607886910438538
2026-02-27,CSX,long,0.5606874227523804
2026-02-27,EPAM,long,0.5574899315834045
2026-02-27,RCL,long,0.5569788217544556
2026-02-27,GS,long,0.5551527142524719
2026-02-27,KMI,long,0.5530714392662048
2026-02-27,DLR,long,0.5516427755355835
2026-02-27,ABBV,long,0.5507714152336121
2026-02-27,LHX,long,0.5506775975227356
2026-02-27,PNC,long,0.5495835542678833
2026-02-27,XOM,long,0.5481148958206177
2026-02-27,MSFT,long,0.5477027297019958
2026-02-27,DPZ,short,0.43542125821113586
2026-02-27,DOC,short,0.4349055886268616
2026-02-27,HST,short,0.4342447519302368
2026-02-27,GNRC,short,0.43306323885917664
2026-02-27,SJM,short,0.4321470558643341
2026-02-27,EQR,short,0.4318506717681885
2026-02-27,CPAY,short,0.4292444884777069
2026-02-27,HAS,short,0.42777711153030396
2026-02-27,PPL,short,0.4262765645980835
2026-02-27,COIN,short,0.42465296387672424
2026-02-27,CF,short,0.42254284024238586
2026-02-27,ADI,short,0.42215490341186523
2026-02-27,CAG,short,0.42061400413513184
2026-02-27,CLX,short,0.42026597261428833
2026-02-27,ALGN,short,0.42015162110328674
2026-02-27,MU,short,0.4068908095359802
2026-02-27,TSLA,short,0.3974389433860779
2026-02-27,NVDA,short,0.3876705765724182
2026-02-27,SNDK,short,0.3413155972957611
2026-02-27,SPY,short,0.025723349303007126
