date,symbol,side,prob_up
2026-03-11,EPAM,long,0.6674138903617859
2026-03-11,HOOD,long,0.6672576069831848
2026-03-11,NCLH,long,0.6665846705436707
2026-03-11,WDAY,long,0.6475130319595337
2026-03-11,WDC,long,0.6461990475654602
2026-03-11,CVNA,long,0.6416085362434387
2026-03-11,AES,long,0.6403063535690308
2026-03-11,CSGP,long,0.6356353759765625
2026-03-11,NRG,long,0.6247706413269043
2026-03-11,NFLX,long,0.6204593777656555
2026-03-11,CEG,long,0.6194172501564026
2026-03-11,MOH,long,0.617080807685852
2026-03-11,GDDY,long,0.6150832176208496
2026-03-11,GLW,long,0.6109351515769958
2026-03-11,ARES,long,0.6106728315353394
2026-03-11,FDS,long,0.6085469722747803
2026-03-11,VST,long,0.6072937250137329
2026-03-11,FICO,long,0.6072598099708557
2026-03-11,IBM,long,0.6059404611587524
2026-03-11,BAX,long,0.6057136058807373
2026-03-11,TXN,short,0.363640695810318
2026-03-11,FRT,short,0.3631359934806824
2026-03-11,SBUX,short,0.3629501461982727
2026-03-11,WBD,short,0.3607673943042755
2026-03-11,GL,short,0.35955867171287537
2026-03-11,MCD,short,0.3591751754283905
2026-03-11,BMY,short,0.3584483563899994
2026-03-11,CNP,short,0.3559489846229553
2026-03-11,PFE,short,0.3557533919811249
2026-03-11,O,short,0.35440245270729065
2026-03-11,TJX,short,0.35420188307762146
2026-03-11,HOLX,short,0.3533098101615906
2026-03-11,QCOM,short,0.3524867594242096
2026-03-11,CMCSA,short,0.3520180881023407
2026-03-11,AFL,short,0.35026785731315613
2026-03-11,PNW,short,0.34956303238868713
2026-03-11,ATO,short,0.3444654047489166
2026-03-11,HON,short,0.3444405198097229
2026-03-11,VZ,short,0.31950297951698303
2026-03-11,SPY,short,0.02560603618621826
