date,symbol,side,prob_up
2026-03-02,AVGO,long,0.6093263626098633
2026-03-02,LLY,long,0.5931257605552673
2026-03-02,IT,long,0.5822522044181824
2026-03-02,RCL,long,0.5775798559188843
2026-03-02,APH,long,0.577461838722229
2026-03-02,AMZN,long,0.5765217542648315
2026-03-02,MSFT,long,0.5744500756263733
2026-03-02,HOOD,long,0.5738673806190491
2026-03-02,IBKR,long,0.5719456672668457
2026-03-02,WDC,long,0.564090371131897
2026-03-02,ORCL,long,0.5638523697853088
2026-03-02,LRCX,long,0.5602317452430725
2026-03-02,CPB,long,0.5578819513320923
2026-03-02,CCL,long,0.5575461387634277
2026-03-02,GEV,long,0.5565743446350098
2026-03-02,LW,long,0.556230366230011
2026-03-02,DELL,long,0.554561197757721
2026-03-02,PSKY,long,0.5534847974777222
2026-03-02,PAYC,long,0.553173303604126
2026-03-02,TPL,long,0.5519290566444397
2026-03-02,ULTA,short,0.4345448613166809
2026-03-02,PKG,short,0.43319401144981384
2026-03-02,JBL,short,0.43261557817459106
2026-03-02,RL,short,0.4325043261051178
2026-03-02,ALGN,short,0.431638240814209
2026-03-02,EG,short,0.43103161454200745
2026-03-02,ADI,short,0.42915216088294983
2026-03-02,EQR,short,0.4280036687850952
2026-03-02,DTE,short,0.4257642328739166
2026-03-02,ETR,short,0.42391303181648254
2026-03-02,SNA,short,0.4208884537220001
2026-03-02,CBOE,short,0.4156686067581177
2026-03-02,PPL,short,0.4138413071632385
2026-03-02,LNT,short,0.41303324699401855
2026-03-02,CNP,short,0.41243183612823486
2026-03-02,XEL,short,0.41184115409851074
2026-03-02,MU,short,0.3849261701107025
2026-03-02,NVDA,short,0.37856969237327576
2026-03-02,AEE,short,0.378505676984787
2026-03-02,SPY,short,0.022548461332917213
