date,symbol,side,prob_up
2026-02-26,MSFT,long,0.660705029964447
2026-02-26,META,long,0.6147308945655823
2026-02-26,AMZN,long,0.6128610372543335
2026-02-26,GLW,long,0.5953879952430725
2026-02-26,LRCX,long,0.5936550498008728
2026-02-26,PAYC,long,0.583925724029541
2026-02-26,IBKR,long,0.5829680562019348
2026-02-26,EME,long,0.5807258486747742
2026-02-26,MRNA,long,0.5775676965713501
2026-02-26,JPM,long,0.5766484141349792
2026-02-26,BRK-B,long,0.5721747279167175
2026-02-26,LLY,long,0.5711655020713806
2026-02-26,AVGO,long,0.5651727914810181
2026-02-26,LHX,long,0.5623374581336975
2026-02-26,CSX,long,0.5611831545829773
2026-02-26,PNC,long,0.5604878664016724
2026-02-26,L,long,0.55576491355896
2026-02-26,CTAS,long,0.5557365417480469
2026-02-26,ABBV,long,0.5546441078186035
2026-02-26,VICI,long,0.5528964996337891
2026-02-26,EIX,short,0.44192734360694885
2026-02-26,FIX,short,0.4400421380996704
2026-02-26,DECK,short,0.4384746849536896
2026-02-26,EVRG,short,0.438096821308136
2026-02-26,INTU,short,0.43802833557128906
2026-02-26,BEN,short,0.4374963641166687
2026-02-26,NOW,short,0.4368804097175598
2026-02-26,CRM,short,0.43634623289108276
2026-02-26,HAS,short,0.43623363971710205
2026-02-26,APP,short,0.43478766083717346
2026-02-26,CRWD,short,0.43337878584861755
2026-02-26,TSLA,short,0.43263521790504456
2026-02-26,ADI,short,0.42990830540657043
2026-02-26,ALGN,short,0.42081427574157715
2026-02-26,ACN,short,0.4174266755580902
2026-02-26,XEL,short,0.40562137961387634
2026-02-26,SNDK,short,0.3918079137802124
2026-02-26,NVDA,short,0.37685850262641907
2026-02-26,MU,short,0.3525312542915344
2026-02-26,SPY,short,0.023371407762169838
