date,symbol,side,prob_up
2026-02-23,META,long,0.6031298041343689
2026-02-23,IT,long,0.5800278186798096
2026-02-23,MSFT,long,0.5793158411979675
2026-02-23,IBKR,long,0.5770783424377441
2026-02-23,INTU,long,0.5736779570579529
2026-02-23,ORCL,long,0.5695909261703491
2026-02-23,LRCX,long,0.5694682002067566
2026-02-23,LLY,long,0.5652596354484558
2026-02-23,EXE,long,0.5620795488357544
2026-02-23,XOM,long,0.5618780851364136
2026-02-23,GLW,long,0.5614439845085144
2026-02-23,PAYC,long,0.5540912747383118
2026-02-23,FIX,long,0.5527653694152832
2026-02-23,WDAY,long,0.55158531665802
2026-02-23,AMD,long,0.5496233105659485
2026-02-23,UNH,long,0.5480659604072571
2026-02-23,MRNA,long,0.5477661490440369
2026-02-23,TTD,long,0.5472190976142883
2026-02-23,COIN,long,0.5469719767570496
2026-02-23,CSGP,long,0.5457223653793335
2026-02-23,DHI,short,0.4256424903869629
2026-02-23,MAA,short,0.42530807852745056
2026-02-23,CMCSA,short,0.42468133568763733
2026-02-23,VRSN,short,0.4237702190876007
2026-02-23,JNJ,short,0.42274126410484314
2026-02-23,DGX,short,0.42094969749450684
2026-02-23,BEN,short,0.4199688136577606
2026-02-23,WRB,short,0.4195507764816284
2026-02-23,KEYS,short,0.41794395446777344
2026-02-23,CBOE,short,0.4162457585334778
2026-02-23,ETR,short,0.4160265028476715
2026-02-23,LUV,short,0.41594386100769043
2026-02-23,ON,short,0.4157334566116333
2026-02-23,DOV,short,0.4127196669578552
2026-02-23,TDY,short,0.4051671028137207
2026-02-23,SNDK,short,0.39912036061286926
2026-02-23,PHM,short,0.38547733426094055
2026-02-23,TSLA,short,0.35782843828201294
2026-02-23,NVDA,short,0.3344539999961853
2026-02-23,SPY,short,0.023636046797037125
