date,symbol,side,prob_up
2026-02-17,LRCX,long,0.6299688816070557
2026-02-17,MSFT,long,0.6103816628456116
2026-02-17,LLY,long,0.5938936471939087
2026-02-17,WDC,long,0.5917673707008362
2026-02-17,AMZN,long,0.5857802629470825
2026-02-17,ORCL,long,0.5822341442108154
2026-02-17,IT,long,0.5793367028236389
2026-02-17,META,long,0.5769644379615784
2026-02-17,WDAY,long,0.5633251667022705
2026-02-17,NCLH,long,0.5610737800598145
2026-02-17,INTU,long,0.5608549118041992
2026-02-17,ROP,long,0.5566371083259583
2026-02-17,GOOG,long,0.5546889901161194
2026-02-17,ABT,long,0.5536903142929077
2026-02-17,TTD,long,0.551653265953064
2026-02-17,IBKR,long,0.5511342883110046
2026-02-17,AVGO,long,0.5502979755401611
2026-02-17,LH,long,0.5497452616691589
2026-02-17,SNDK,long,0.5484277606010437
2026-02-17,GLW,long,0.5470680594444275
2026-02-17,ZBH,short,0.43265074491500854
2026-02-17,CPT,short,0.4323519766330719
2026-02-17,VTR,short,0.43068772554397583
2026-02-17,PKG,short,0.43022841215133667
2026-02-17,EG,short,0.4301050007343292
2026-02-17,BDX,short,0.4295749068260193
2026-02-17,TDY,short,0.42878466844558716
2026-02-17,RJF,short,0.4287823438644409
2026-02-17,ULTA,short,0.4267582297325134
2026-02-17,MTB,short,0.42608413100242615
2026-02-17,TSN,short,0.42594099044799805
2026-02-17,TMO,short,0.42526477575302124
2026-02-17,DGX,short,0.4244634211063385
2026-02-17,DECK,short,0.42352426052093506
2026-02-17,TFC,short,0.4233681559562683
2026-02-17,HAS,short,0.42223867774009705
2026-02-17,Q,short,0.4181041419506073
2026-02-17,RL,short,0.4164826273918152
2026-02-17,MU,short,0.4144611656665802
2026-02-17,SPY,short,0.02240077406167984
