date,symbol,side,prob_up
2026-03-09,EPAM,long,0.6404917240142822
2026-03-09,WDC,long,0.6257299184799194
2026-03-09,HOOD,long,0.6244756579399109
2026-03-09,MOH,long,0.6224616169929504
2026-03-09,CIEN,long,0.6210889220237732
2026-03-09,NFLX,long,0.6181069612503052
2026-03-09,BXP,long,0.6074066758155823
2026-03-09,CEG,long,0.6050224900245667
2026-03-09,WDAY,long,0.6048683524131775
2026-03-09,NCLH,long,0.6032989621162415
2026-03-09,KKR,long,0.6031040549278259
2026-03-09,CVNA,long,0.6020719408988953
2026-03-09,BAX,long,0.5999903678894043
2026-03-09,AXP,long,0.599895715713501
2026-03-09,MPC,long,0.5988978147506714
2026-03-09,IBKR,long,0.5987111926078796
2026-03-09,PYPL,long,0.5966783761978149
2026-03-09,GLW,long,0.5951785445213318
2026-03-09,SMCI,long,0.5949534177780151
2026-03-09,HUM,long,0.5913273692131042
2026-03-09,MSI,short,0.3752095401287079
2026-03-09,FRT,short,0.37387967109680176
2026-03-09,AVB,short,0.37173551321029663
2026-03-09,EG,short,0.3672701120376587
2026-03-09,CME,short,0.36486172676086426
2026-03-09,HON,short,0.36401236057281494
2026-03-09,CMS,short,0.3633003532886505
2026-03-09,O,short,0.3607163727283478
2026-03-09,HD,short,0.35821637511253357
2026-03-09,PFE,short,0.35638150572776794
2026-03-09,JNJ,short,0.35477644205093384
2026-03-09,MCD,short,0.35475364327430725
2026-03-09,ATO,short,0.35071542859077454
2026-03-09,VZ,short,0.3481477200984955
2026-03-09,LNT,short,0.34791961312294006
2026-03-09,BRK-B,short,0.33812564611434937
2026-03-09,FE,short,0.3257766366004944
2026-03-09,DUK,short,0.32505112886428833
2026-03-09,TSLA,short,0.265300989151001
2026-03-09,SPY,short,0.026868952438235283
