date,symbol,side,prob_up
2026-03-05,EPAM,long,0.6665230989456177
2026-03-05,CIEN,long,0.6577715277671814
2026-03-05,WDC,long,0.6301136016845703
2026-03-05,MCK,long,0.6255033612251282
2026-03-05,SMCI,long,0.6238340735435486
2026-03-05,HOOD,long,0.622072160243988
2026-03-05,PSKY,long,0.6159236431121826
2026-03-05,DASH,long,0.6124988794326782
2026-03-05,WDAY,long,0.6091240644454956
2026-03-05,NCLH,long,0.6084662675857544
2026-03-05,LLY,long,0.6078559160232544
2026-03-05,AMD,long,0.6069836020469666
2026-03-05,CSGP,long,0.5995317697525024
2026-03-05,LW,long,0.5946206450462341
2026-03-05,IQV,long,0.5934242010116577
2026-03-05,GLW,long,0.5929993391036987
2026-03-05,MRNA,long,0.5926104187965393
2026-03-05,DDOG,long,0.5901961922645569
2026-03-05,GDDY,long,0.5900492668151855
2026-03-05,EXPD,long,0.5885693430900574
2026-03-05,DUK,short,0.38950714468955994
2026-03-05,PGR,short,0.3888591229915619
2026-03-05,LNT,short,0.38819411396980286
2026-03-05,VICI,short,0.38744908571243286
2026-03-05,JNJ,short,0.38666316866874695
2026-03-05,V,short,0.38533493876457214
2026-03-05,AFL,short,0.3847401440143585
2026-03-05,CBOE,short,0.379305899143219
2026-03-05,PFE,short,0.3775499761104584
2026-03-05,HON,short,0.3772638440132141
2026-03-05,FE,short,0.37653493881225586
2026-03-05,CB,short,0.3752288222312927
2026-03-05,TXN,short,0.37503644824028015
2026-03-05,ADI,short,0.37366989254951477
2026-03-05,UNP,short,0.37329357862472534
2026-03-05,VZ,short,0.3710351884365082
2026-03-05,CMCSA,short,0.36942267417907715
2026-03-05,BLK,short,0.3619410991668701
2026-03-05,CME,short,0.36004024744033813
2026-03-05,SPY,short,0.026669960469007492
